customer_id,name,email,password,balance
CUST1088,nabeelnew,nabeelnew@mail.com,12345,567685153.0
CUST1307,Mohd Nabeel,2416877@live.stmarys.ac.uk,2416877,800.0
CUST9919,Mohd Nabeel,Nabeel@finsecure.com,2416877,258959.0
CUST7274,test123,test@mail.com,test123,498.0
CUST7247,NabeelTest1,test@gmail.com,2416877,10800.0
CUST6396,Ryan Jackson,ryan.jackson,2416877,990.0
CUST5015,Rehan,rehan.@mail.com,2416877,0
CUST7689,Neha,neha@mail.com,2416877,90.0
CUST4103,Stephen,steph@mail.com,2416877,11255.0
CUST9864,Nabeel Khan,nab@testmail.com,2416877,110000.0
